iter	RMSE
0	104.166748
1	82.88821435
2	67.12153825
3	56.6403017
4	49.24542357
5	43.46128836
6	39.47668845
7	36.16872579
8	33.62230577
9	31.18575662
10	29.66884021
11	28.12132522
12	26.95955931
13	26.02123972
14	25.12698908
15	24.17658449
16	23.30673526
17	22.79738415
18	22.20792432
19	21.6207526
20	21.25596243
21	20.77756288
22	20.30309076
23	19.87379614
24	19.53356207
25	19.28759004
26	18.87543373
27	18.81475635
28	18.60123446
29	18.15459118
30	17.9510935
31	17.62360652
32	17.30151825
33	17.03545782
34	16.99071302
35	16.7056706
36	16.45682677
37	16.1948483
38	16.10705294
39	15.88116235
40	15.71470111
41	15.24427674
42	15.07830052
43	14.69233072
44	14.4860194
45	14.45519928
46	14.02189745
47	13.6695123
48	13.47680193
49	13.40060511
50	12.9533973
51	12.73076402
52	12.61177555
53	12.55965933
54	12.43621576
55	12.16009528
56	11.9176106
57	11.78655416
58	11.7000019
59	11.5838119
60	11.49097251
61	11.20634546
62	11.0727399
63	10.9799363
64	10.78515929
65	10.72314638
66	10.5862894
67	10.54090954
68	10.40444268
69	10.31874581
70	10.11765614
71	10.08334871
72	9.986871752
73	9.722304616
74	9.620202743
75	9.41386883
76	9.253752801
77	9.187461636
78	9.058783927
79	9.029187163
80	8.861072756
81	8.820439707
82	8.682829291
83	8.671845437
84	8.585557159
85	8.478408536
86	8.388066453
87	8.376425003
88	8.275233934
89	8.235092002
90	8.141105923
91	8.132806004
92	8.078602629
93	8.0021411
94	7.924484701
95	7.882946838
96	7.820692167
97	7.776603852
98	7.707435162
99	7.549790733
100	7.478651299
101	7.371328095
102	7.239371523
103	7.093577347
104	7.05158103
105	6.983939864
106	6.839260297
107	6.830895264
108	6.772401114
109	6.701790549
110	6.60712892
111	6.53353502
112	6.447448875
113	6.40000581
114	6.311706173
115	6.240173092
116	6.195904897
117	6.172463529
118	6.109474737
119	6.049850025
120	5.996500934
121	5.932729762
122	5.887444614
123	5.873822594
124	5.831694518
125	5.751423931
126	5.716145128
127	5.660037924
128	5.602518632
129	5.560022101
130	5.517231279
131	5.463494825
132	5.420210058
133	5.367227703
134	5.314687057
135	5.249681846
136	5.216259471
137	5.202788272
138	5.146021106
139	5.081254325
140	5.041257342
141	4.966629405
142	4.950715978
143	4.925498036
144	4.862694415
145	4.836144625
146	4.795758774
147	4.764859011
148	4.73502523
149	4.71034498
150	4.658167366
151	4.606491311
152	4.562826898
153	4.530493156
154	4.491906679
155	4.465101103
156	4.447132994
157	4.42592309
158	4.414491228
159	4.35906296
160	4.299173273
161	4.278862409
162	4.24696415
163	4.224170826
164	4.157812611
165	4.141233033
166	4.132561279
167	4.108950118
168	4.051463203
169	4.003140179
170	3.965122235
171	3.938954946
172	3.916395986
173	3.890584762
174	3.861978932
175	3.849168163
176	3.823759453
177	3.803337789
178	3.787552125
179	3.742600699
180	3.689474058
181	3.669108076
182	3.651700347
183	3.61658073
184	3.581147923
185	3.545105925
186	3.529430672
187	3.489128512
188	3.449698222
189	3.40789381
190	3.382017041
191	3.365993078
192	3.32950809
193	3.308183708
194	3.290780117
195	3.270180103
196	3.244903742
197	3.187333163
198	3.171958867
199	3.154202921
