iter	Passed	Remaining
0	0	556
1	0	404
2	1	427
3	1	433
4	2	412
5	2	396
6	2	419
7	3	422
8	3	422
9	4	416
10	4	410
11	4	405
12	5	414
13	5	409
14	6	407
15	6	402
16	6	401
17	7	420
18	8	440
19	9	457
20	10	476
21	11	491
22	12	522
23	13	535
24	13	545
25	15	563
26	15	575
27	16	582
28	17	588
29	18	599
30	19	605
31	20	612
32	21	620
33	22	633
34	23	637
35	24	644
36	24	647
37	25	645
38	26	651
39	27	655
40	27	648
41	28	641
42	28	636
43	28	629
44	29	621
45	29	614
46	29	607
47	30	601
48	30	596
49	31	591
50	31	586
51	31	580
52	32	574
53	32	572
54	33	568
55	33	563
56	33	559
57	34	555
58	34	550
59	34	547
60	35	543
61	35	539
62	36	537
63	36	535
64	37	533
65	37	529
66	37	526
67	38	522
68	38	519
69	38	517
70	39	515
71	39	512
72	40	508
73	40	505
74	40	502
75	41	503
76	41	500
77	42	498
78	42	495
79	42	493
80	43	490
81	43	490
82	44	488
83	44	486
84	44	483
85	45	480
86	45	478
87	45	476
88	46	475
89	46	473
90	47	471
91	47	468
92	47	466
93	48	464
94	48	462
95	49	461
96	49	459
97	49	456
98	49	454
99	50	452
100	50	451
101	51	449
102	51	449
103	52	452
104	52	450
105	53	452
106	54	454
107	55	456
108	56	458
109	57	463
110	58	465
111	58	464
112	59	466
113	60	467
114	60	469
115	61	471
116	62	473
117	63	473
118	64	474
119	65	478
120	66	481
121	67	483
122	68	488
123	69	489
124	69	489
125	70	488
126	70	488
127	71	487
128	71	486
129	72	486
130	73	484
131	73	483
132	73	481
133	74	480
134	74	479
135	75	478
136	75	476
137	76	475
138	76	473
139	76	471
140	77	471
141	77	469
142	78	467
143	78	465
144	78	464
145	79	462
146	79	461
147	80	460
148	80	459
149	80	457
150	81	456
151	81	454
152	81	453
153	82	452
154	82	451
155	83	449
156	83	448
157	83	446
158	84	445
159	84	443
160	84	442
161	85	440
162	85	439
163	85	437
164	86	436
165	86	434
166	86	433
167	87	432
168	87	431
169	88	429
170	88	428
171	88	427
172	89	426
173	89	425
174	89	424
175	90	423
176	90	422
177	91	420
178	91	419
179	91	418
180	92	417
181	92	416
182	93	415
183	93	414
184	93	412
185	94	411
186	94	410
187	94	410
188	97	419
189	98	420
190	99	420
191	100	422
192	101	423
193	103	429
194	104	430
195	104	429
196	105	428
197	106	429
198	106	430
199	107	430
200	108	431
201	109	431
202	109	431
203	110	432
204	111	433
205	112	433
206	113	435
207	114	435
208	115	435
209	115	436
210	116	435
211	117	435
212	117	435
213	118	433
214	118	433
215	119	432
216	119	431
217	119	429
218	120	428
219	120	427
220	121	426
221	121	425
222	121	424
223	122	423
224	122	422
225	123	421
226	123	420
227	123	419
228	124	418
229	124	417
230	125	416
231	125	415
232	126	415
233	126	414
234	126	413
235	127	412
236	127	410
237	127	409
238	128	409
239	128	408
240	129	407
241	129	406
242	130	404
243	130	403
244	130	402
245	131	402
246	131	401
247	132	400
248	132	399
249	132	398
250	133	397
251	133	396
252	133	395
253	134	394
254	134	393
255	134	392
256	135	391
257	135	390
258	136	389
259	136	388
260	136	387
261	137	386
262	137	385
263	138	384
264	138	383
265	138	383
266	139	382
267	143	390
268	146	397
269	147	398
270	148	398
271	148	398
272	149	399
273	150	399
274	151	398
275	152	398
276	154	403
277	156	405
278	157	406
279	158	406
280	158	406
281	159	406
282	160	406
283	161	406
284	162	407
285	163	407
286	164	409
287	165	408
288	165	407
289	165	406
290	166	405
291	166	404
292	167	402
293	168	403
294	169	404
295	169	403
296	170	402
297	170	402
298	171	402
299	171	401
300	172	400
301	172	399
302	173	398
303	173	397
304	174	397
305	174	396
306	175	396
307	176	395
308	176	394
309	177	394
310	177	393
311	178	393
312	178	392
313	179	391
314	179	390
315	180	390
316	181	390
317	181	389
318	182	388
319	182	388
320	183	387
321	183	386
322	184	386
323	191	399
324	194	404
325	195	404
326	196	405
327	197	405
328	198	405
329	199	404
330	200	404
331	201	405
332	202	405
333	203	405
334	203	404
335	204	404
336	205	405
337	206	404
338	206	403
339	207	401
340	207	400
341	207	400
342	208	399
343	208	397
344	209	396
345	209	395
346	209	394
347	209	393
348	210	392
349	210	391
350	211	390
351	211	389
352	211	388
353	212	387
354	212	385
355	212	385
